timestamp,speed,obstacle_distance,brakes_applied
2026-09-12 10:00:00,60.24,82.71,false
2026-09-12 10:00:01,59.63,79.73,false
2026-09-12 10:00:02,58.75,77.41,false
2026-09-12 10:00:03,60.4,74.38,false
2026-09-12 10:00:04,60.93,72.28,false
2026-09-12 10:00:05,60.37,69.85,false
2026-09-12 10:00:06,61.78,67.13,false
2026-09-12 10:00:07,63.56,64.54,false
2026-09-12 10:00:08,63.59,61.45,false
2026-09-12 10:00:09,63.84,58.63,false
2026-09-12 10:00:10,63.78,56.39,false
2026-09-12 10:00:11,65.52,53.87,false
2026-09-12 10:00:12,66.23,51.23,false
2026-09-12 10:00:13,68.31,48.63,false
2026-09-12 10:00:14,67.46,45.57,false
2026-09-12 10:00:15,70.7,42.41,false
2026-09-12 10:00:16,71.48,39.37,false
2026-09-12 10:00:17,71.59,36.13,false
2026-09-12 10:00:18,74.63,32.71,false
2026-09-12 10:00:19,75.92,29.07,false
2026-09-12 10:00:20,71.23,21.39,true
2026-09-12 10:00:21,67.25,13.42,true
2026-09-12 10:00:22,63.41,6.81,true
2026-09-12 10:00:23,59.06,1.5,true
2026-09-12 10:00:24,53.55,1.5,true
2026-09-12 10:00:25,48.53,1.5,true
2026-09-12 10:00:26,44.15,1.5,true
2026-09-12 10:00:27,39.4,1.5,true
2026-09-12 10:00:28,35.38,1.5,true
2026-09-12 10:00:29,29.54,1.5,true
2026-09-12 10:00:30,26.12,1.5,true
2026-09-12 10:00:31,23.0,1.5,true
2026-09-12 10:00:32,17.45,1.5,true
2026-09-12 10:00:33,12.71,1.5,true
2026-09-12 10:00:34,9.68,1.5,true
2026-09-12 10:00:35,5.29,1.5,true
2026-09-12 10:00:36,0.93,1.5,true
2026-09-12 10:00:37,0.0,1.5,true
2026-09-12 10:00:38,0.0,1.88,true
2026-09-12 10:00:39,0.0,1.69,true
2026-09-12 10:00:40,0.0,2.06,true
2026-09-12 10:00:41,0.0,1.65,true
2026-09-12 10:00:42,0.0,1.5,true
2026-09-12 10:00:43,0.0,1.77,true
2026-09-12 10:00:44,0.0,1.74,true
2026-09-12 10:00:45,0.0,1.51,true
2026-09-12 10:00:46,0.0,1.5,true
2026-09-12 10:00:47,0.0,1.54,true
2026-09-12 10:00:48,0.0,1.5,true
2026-09-12 10:00:49,0.0,2.0,true
2026-09-12 10:00:50,0.0,1.93,true
2026-09-12 10:00:51,0.0,1.55,true
2026-09-12 10:00:52,0.0,1.5,true
2026-09-12 10:00:53,0.0,1.5,true
2026-09-12 10:00:54,0.0,1.5,true
2026-09-12 10:00:55,0.0,1.5,true
2026-09-12 10:00:56,0.0,1.86,true
2026-09-12 10:00:57,0.0,1.6,true
2026-09-12 10:00:58,0.0,1.5,true
2026-09-12 10:00:59,0.0,1.94,true
2026-09-12 10:01:00,0.0,1.91,true
2026-09-12 10:01:01,0.0,2.22,true
2026-09-12 10:01:02,0.0,1.81,true
2026-09-12 10:01:03,0.0,1.74,true
2026-09-12 10:01:04,0.0,1.97,true
2026-09-12 10:01:05,0.0,2.45,true
2026-09-12 10:01:06,0.0,2.35,true
2026-09-12 10:01:07,0.0,2.71,true
2026-09-12 10:01:08,0.0,2.4,true
2026-09-12 10:01:09,0.0,2.33,true
2026-09-12 10:01:10,0.0,2.08,true
2026-09-12 10:01:11,0.0,2.02,true
2026-09-12 10:01:12,0.0,2.07,true
2026-09-12 10:01:13,0.0,2.57,true
2026-09-12 10:01:14,0.0,3.04,true
2026-09-12 10:01:15,0.0,3.39,true
2026-09-12 10:01:16,0.0,3.37,true
2026-09-12 10:01:17,0.0,3.27,true
2026-09-12 10:01:18,0.0,3.15,true
2026-09-12 10:01:19,0.0,2.92,true
2026-09-12 10:01:20,0.0,2.87,true
2026-09-12 10:01:21,0.0,3.33,true
2026-09-12 10:01:22,0.0,3.39,true
2026-09-12 10:01:23,0.0,3.04,true
2026-09-12 10:01:24,0.0,3.51,true
2026-09-12 10:01:25,0.0,3.55,true
2026-09-12 10:01:26,0.0,3.11,true
2026-09-12 10:01:27,0.0,3.11,true
2026-09-12 10:01:28,0.0,2.77,true
2026-09-12 10:01:29,0.0,2.35,true
2026-09-12 10:01:30,0.0,2.44,true
2026-09-12 10:01:31,0.0,2.18,true
2026-09-12 10:01:32,0.0,2.57,true
2026-09-12 10:01:33,0.0,2.66,true
2026-09-12 10:01:34,0.0,2.58,true
2026-09-12 10:01:35,0.0,2.61,true
2026-09-12 10:01:36,0.0,2.31,true
2026-09-12 10:01:37,0.0,2.05,true
2026-09-12 10:01:38,0.0,2.22,true
2026-09-12 10:01:39,0.0,2.04,true
2026-09-12 10:01:40,0.0,1.61,true
2026-09-12 10:01:41,0.0,2.11,true
2026-09-12 10:01:42,0.0,1.68,true
2026-09-12 10:01:43,0.0,1.5,true
2026-09-12 10:01:44,0.0,1.88,true
2026-09-12 10:01:45,0.0,1.75,true
2026-09-12 10:01:46,0.0,2.08,true
2026-09-12 10:01:47,0.0,2.2,true
2026-09-12 10:01:48,0.0,2.35,true
2026-09-12 10:01:49,0.0,2.67,true
2026-09-12 10:01:50,0.0,2.83,true
2026-09-12 10:01:51,0.0,2.46,true
2026-09-12 10:01:52,0.0,2.07,true
2026-09-12 10:01:53,0.0,1.84,true
2026-09-12 10:01:54,0.0,2.06,true
2026-09-12 10:01:55,0.0,2.2,true
2026-09-12 10:01:56,0.0,2.18,true
2026-09-12 10:01:57,0.0,2.53,true
2026-09-12 10:01:58,0.0,2.45,true
2026-09-12 10:01:59,0.0,1.96,true
